,,clean,smell,noise,town,district,longitude,latitude,transformed_longitude,transformed_latitude
109,南郊别墅居委会,3,0.0,0.0,莘庄工业区,闵行区,121.367288597091,31.0821793446011,-2845847.540188609,4668237.752482006
111,古美路第一居委会,3,0.0,1.0,虹梅路街道,徐汇区,121.394937516853,31.1581852838238,-2845831.1037616855,4663146.221918575
112,叶家宅居委会,2,0.0,0.0,长寿路街道,普陀区,121.424506258057,31.2378461613712,-2845851.9168032915,4657772.911178527
113,合一居委会,2,0.0,0.0,淮海中路街道,黄浦区,121.475255543408,31.2173917271465,-2850590.276986314,4656253.145018035
114,合生城邦城第三居委会,3,0.0,0.0,江川路街道,闵行区,121.401391261397,31.0188818646064,-2850511.5853463854,4669632.656338145
115,合生城邦城第二居委会,3,0.0,0.0,江川路街道,闵行区,121.400606484201,31.0233309051971,-2850315.1794773974,4669454.723159201
116,合阳居委会,2,0.0,1.0,甘泉路街道,普陀区,121.43522442047,31.2656438955493,-2845889.270989126,4655876.182558828
117,吉浦一居委会,2,0.0,1.0,五角场街道,杨浦区,121.487057065131,31.3085812631148,-2848808.729732532,4651191.438077936
118,吉浦居委会,3,0.0,0.0,五角场街道,杨浦区,121.486435044541,31.3114725646072,-2848671.2246269775,4651080.302162063
119,吉祥居委会,2,0.0,0.0,四川北路街道,虹口区,121.483866444081,31.2681006608169,-2849767.07786243,4653337.883619001
120,吉祥居委会,2,0.0,0.0,平凉路街道,杨浦区,121.515043531933,31.2585312159429,-2852586.5632576225,4652255.92865488
121,同济新村居委会,3,,1.0,四平路街道,杨浦区,121.505548457395,31.2854485381195,-2851005.955397152,4651407.743847848
122,名都新城居委会,3,0.0,0.0,莘庄镇,闵行区,121.386031830104,31.1096367762162,-2846555.6766986134,4665964.331231526
123,周家牌路居委会,2,,1.0,大桥街道,杨浦区,121.537088404606,31.2665150975937,-2854136.0516357785,4650766.500168409
124,呼玛五村居委会,2,0.0,0.0,张庙街道,宝山区,121.43586644468,31.3453607460016,-2843546.2318476913,4651925.826682534
